id_municipio,n_alunos,taxa_observada,taxa_prevista,sigla_uf,nome_regiao,rede,meta_alfabetizacao_2024,meta_alfabetizacao_2025,lag1_taxa_alfabetizacao,lag1_media_portugues,populacao,pib_per_capita,ivs,risco,gap_meta_2024,risco_nao_atingir_meta_2024,gap_meta_2025,risco_nao_atingir_meta_2025,rank_risco,cluster
2403509,14,0.35714285714285715,0.21456045625280487,RN,Nordeste,municipal,,53.38,18.07,704.8803,10936,11583.94294074616,0.518,0.7854395437471952,,False,-31.923954374719514,True,1,0
2907202,80,0.2625,0.23356577172105122,BA,Nordeste,municipal,19.44,27.82,13.13,700.3841,75815,14974.292686143903,,0.7664342282789488,3.9165771721051215,False,-4.4634228278948775,True,2,0
2928307,10,0.1,0.2336469570560898,BA,Nordeste,municipal,,31.5,26.96,719.0038,9023,9362.96132106838,,0.7663530429439103,,False,-8.13530429439102,True,3,0
2410108,12,0.16666666666666666,0.2502642725306405,RN,Nordeste,municipal,,,10.4,692.2108,12619,12766.701006418893,0.309,0.7497357274693595,,False,,False,4,0
2805109,12,0.08333333333333333,0.2534786702684425,SE,Nordeste,municipal,21.39,29.87,14.81,689.1903,7416,17336.839266450916,,0.7465213297315575,3.9578670268442515,False,-4.522132973155749,True,5,0
2911006,14,0.5,0.2542315107905075,BA,Nordeste,municipal,21.74,30.23,15.12,704.0523,11442,11718.14368117462,0.435,0.7457684892094925,3.6831510790507487,False,-4.806848920949253,True,6,0
4304630,128,0.2734375,0.2570597819889843,RS,Sul,estadual,,42.44,46.84,735.902,66012,39207.43198206387,0.212,0.7429402180110156,,False,-16.734021801101566,True,7,1
2926004,49,0.1836734693877551,0.25757003962361785,BA,Nordeste,municipal,32.32,40.5,25.1,714.7749,42746,13413.722921442943,,0.7424299603763822,-6.562996037638214,True,-14.742996037638214,True,8,0
2804706,13,0.8461538461538461,0.25976282864645645,SE,Nordeste,municipal,26.18,34.69,19.15,694.0713,6404,18099.625234228606,0.393,0.7402371713535436,-0.20371713535435632,True,-8.713717135354354,True,9,0
2401602,9,0.2222222222222222,0.26190267403230144,RN,Nordeste,municipal,21.48,29.96,14.89,694.0429,4920,26134.959349593497,0.463,0.7380973259676986,4.710267403230144,False,-3.769732596769856,True,10,0
2402907,3,0.0,0.26223142481947,RN,Nordeste,municipal,31.08,39.35,23.86,696.9786,4315,12553.88180764774,,0.7377685751805301,-4.856857518053001,True,-13.126857518053004,True,11,0
1501204,44,0.2727272727272727,0.263331880262606,PA,Norte,municipal,34.71,42.66,27.52,717.4037,55949,14287.35098035711,,0.736668119737394,-8.3768119737394,True,-16.326811973739396,True,12,0
1504406,33,0.3939393939393939,0.26389555480179283,PA,Norte,municipal,35.89,43.72,28.74,711.6974,28105,11881.907133961928,0.407,0.7361044451982072,-9.500444519820718,True,-17.330444519820716,True,13,0
1500701,55,0.2909090909090909,0.26437857120917785,PA,Norte,municipal,34.01,42.04,26.81,714.0325,30003,12360.030663600306,,0.7356214287908222,-7.5721428790822145,True,-15.602142879082216,True,14,0
2800670,21,0.38095238095238093,0.2664531273157918,SE,Nordeste,municipal,29.96,38.3,22.76,702.1021,25038,17438.932822110393,0.373,0.7335468726842083,-3.3146872684208226,True,-11.654687268420819,True,15,0
2922904,34,0.38235294117647056,0.26779678842164983,BA,Nordeste,municipal,29.32,37.7,22.14,718.147,24906,13725.287079418615,,0.7322032115783501,-2.5403211578350167,True,-10.92032115783502,True,16,0
2922656,25,0.16,0.2711739771824534,BA,Nordeste,municipal,38.28,45.83,31.25,718.8869,19500,9464.71794871795,,0.7288260228175466,-11.162602281754662,True,-18.71260228175466,True,17,0
2924108,6,0.0,0.27183832825052023,BA,Nordeste,municipal,27.85,36.3,20.72,708.0435,6415,10744.19329696025,,0.7281616717494798,-0.6661671749479794,True,-9.116167174947975,True,18,0
2907004,16,0.4375,0.2723974381248405,BA,Nordeste,municipal,33.87,41.91,26.67,718.4729,8634,16219.828584665276,,0.7276025618751595,-6.630256187515947,True,-14.670256187515946,True,19,0
2902203,17,0.17647058823529413,0.2729281672120959,BA,Nordeste,municipal,28.9,37.3,21.73,712.838,10122,13707.666469077258,,0.7270718327879041,-1.6071832787904086,True,-10.007183278790407,True,20,0
2929206,53,0.2641509433962264,0.2734140859848879,BA,Nordeste,municipal,37.11,44.81,30.02,719.9263,40932,647555.384540213,0.376,0.7265859140151121,-9.768591401511209,True,-17.468591401511212,True,21,1
2902708,84,0.2619047619047619,0.274060890390189,BA,Nordeste,municipal,34.04,42.06,26.84,708.2513,53528,10433.660887759677,0.479,0.725939109609811,-6.633910960981101,True,-14.653910960981104,True,22,0
2905305,31,0.1935483870967742,0.27432150935310634,BA,Nordeste,municipal,28.79,37.2,21.63,708.5645,18039,15367.481567714396,,0.7256784906468936,-1.3578490646893648,True,-9.767849064689369,True,23,0
2909901,56,0.2857142857142857,0.2755174910452235,BA,Nordeste,municipal,36.77,44.5,29.66,714.6036,36021,13878.903972682601,0.404,0.7244825089547765,-9.218250895477652,True,-16.94825089547765,True,24,0
3305109,455,0.2681318681318681,0.27607538837922885,RJ,Sudeste,municipal,44.12,50.86,37.6,722.9443,466536,24722.73736646261,0.419,0.7239246116207712,-16.512461162077113,True,-23.252461162077115,True,25,0
2927507,20,0.3,0.2764010285226347,BA,Nordeste,municipal,28.15,36.59,21.01,710.8043,21723,10573.677668830273,0.481,0.7235989714773653,-0.5098971477365275,True,-8.949897147736532,True,26,0
2932408,16,0.375,0.2794387258768862,BA,Nordeste,municipal,40.0,47.33,33.09,718.8527,13880,12771.253602305476,,0.7205612741231138,-12.056127412311383,True,-19.38612741231138,True,27,0
4201950,35,0.22857142857142856,0.2805355275643048,SC,Sul,municipal,,,43.72,730.7152,17215,17548.707522509438,,0.7194644724356952,,False,,False,28,0
2907103,40,0.25,0.28079239040316606,BA,Nordeste,municipal,35.7,43.56,28.55,718.6228,30375,12412.674897119341,0.413,0.7192076095968339,-7.620760959683398,True,-15.480760959683398,True,29,0
2803203,52,0.36538461538461536,0.2815634861216288,SE,Nordeste,municipal,31.53,39.77,24.31,704.838,35863,15680.952513732816,0.553,0.7184365138783713,-3.3736513878371213,True,-11.613651387837123,True,30,0
2913457,10,0.6,0.2830114363683283,BA,Nordeste,municipal,37.38,45.04,30.3,723.3475,13528,18333.456534594916,,0.7169885636316717,-9.07885636316717,True,-16.738856363167166,True,31,0
1507474,36,0.2777777777777778,0.28332869792469484,PA,Norte,municipal,36.94,44.66,29.84,721.319,21447,10858.301860400055,,0.7166713020753052,-8.607130207530513,True,-16.327130207530512,True,32,0
1507003,50,0.2,0.28334181116969837,PA,Norte,municipal,32.94,41.06,25.72,715.0566,29134,23590.6844236974,0.433,0.7166581888303016,-4.60581888303016,True,-12.725818883030165,True,33,0
2414605,10,0.0,0.28335122227621695,RN,Nordeste,municipal,,,24.81,711.7605,14013,26419.753086419754,,0.7166487777237831,,False,,False,34,0
2916906,13,0.15384615384615385,0.28373362450143036,BA,Nordeste,municipal,39.79,47.15,32.86,719.9003,11261,13498.889974247402,0.382,0.7162663754985696,-11.416637549856965,True,-18.776637549856964,True,35,0
4306767,71,0.19718309859154928,0.2867019075687295,RS,Sul,estadual,,,82.35,766.8801,40954,64059.45695170191,0.279,0.7132980924312705,,False,,False,36,1
2924603,31,0.5483870967741935,0.2883236685956754,BA,Nordeste,municipal,41.0,48.19,34.17,720.5313,19625,10960.662420382165,0.364,0.7116763314043246,-12.167633140432464,True,-19.357633140432462,True,37,0
2928505,15,0.2,0.2894687573463784,BA,Nordeste,municipal,33.84,41.88,26.63,723.7739,10847,15245.597861159767,,0.7105312426536217,-4.8931242653621645,True,-12.933124265362164,True,38,0
1718865,19,0.21052631578947367,0.2894910865225039,TO,Norte,municipal,23.48,32.01,16.67,705.2162,7489,27067.298704766992,0.401,0.7105089134774961,5.469108652250387,False,-3.0608913477496102,True,39,0
2900207,23,0.08695652173913043,0.2899340861434182,BA,Nordeste,municipal,35.44,43.32,28.28,715.1441,18240,12293.804824561403,0.515,0.7100659138565818,-6.446591385658177,True,-14.32659138565818,True,40,0
2911659,13,0.46153846153846156,0.29069497956323176,BA,Nordeste,municipal,36.33,44.11,29.2,721.3091,8225,10490.699088145897,,0.7093050204367682,-7.260502043676823,True,-15.040502043676824,True,41,0
1709005,22,0.3181818181818182,0.2910246139426215,TO,Norte,municipal,18.74,27.07,12.54,698.3088,12816,24123.51747815231,,0.7089753860573784,10.362461394262155,False,2.032461394262153,False,42,0
2930402,14,0.5714285714285714,0.2921287136262144,BA,Nordeste,municipal,38.83,46.32,31.84,722.6546,18685,9379.60931228258,,0.7078712863737856,-9.61712863737856,True,-17.107128637378562,True,43,0
2706109,17,0.4117647058823529,0.29305021213248617,AL,Nordeste,municipal,27.52,35.99,20.41,697.211,11699,12863.91999316181,0.569,0.7069497878675138,1.7850212132486156,False,-6.684978786751387,True,44,0
2926103,15,0.13333333333333333,0.2951353467814361,BA,Nordeste,municipal,25.46,33.98,18.48,709.4261,14147,12408.849932847954,0.404,0.7048646532185638,4.05353467814361,False,-4.466465321856386,True,45,0
2403806,5,0.2,0.29628287775255946,RN,Nordeste,municipal,42.91,49.83,36.26,723.9467,10528,14485.372340425532,0.336,0.7037171222474405,-13.281712224744052,True,-20.201712224744053,True,46,0
2910800,633,0.292259083728278,0.29714716087815146,BA,Nordeste,municipal,38.95,46.42,31.96,723.2547,657948,33203.923410360694,0.257,0.7028528391218485,-9.235283912184858,True,-16.705283912184857,True,47,0
