feature,importance
num__lag1_media_portugues,0.1802480395382043
num__lag1_taxa_alfabetizacao,0.11592488154172323
num__gap_meta,0.10328645857666421
num__meta_alfabetizacao_2024,0.09735254418800715
num__lag1_uf_media_portugues,0.07822877564024704
num__lag1_uf_taxa_alfabetizacao,0.06772436224101547
num__uf_meta_alfabetizacao_2024,0.06443477346294019
num__populacao,0.035434116049333705
num__ivs_renda_trabalho,0.027123152487794962
cat__sigla_uf_CE,0.024392703440943457
num__pib_per_capita,0.02314419779158556
num__ivs_infraestrutura_urbana,0.02268513631785283
num__ivs_capital_humano,0.02079422289838495
cat__nome_regiao_Sul,0.019982044568050035
num__ivs,0.01807196498787176
cat__sigla_uf_RS,0.015299200679830326
cat__sigla_uf_MG,0.01503805127567574
cat__nome_regiao_Sudeste,0.0128855246378498
cat__sigla_uf_BA,0.009106585905978612
cat__nome_regiao_Nordeste,0.006755264436908356
cat__nome_regiao_Norte,0.005352575277741358
num__amazonia_legal,0.0036847529825826037
cat__sigla_uf_SC,0.0029793672610812466
cat__sigla_uf_SP,0.0028754060726604897
num__capital_uf,0.0028565439296309994
cat__rede_municipal,0.0026767811180277543
cat__sigla_uf_GO,0.0026651864608445313
cat__sigla_uf_RJ,0.002196785254059534
cat__rede_estadual,0.0021458753374955213
cat__nome_regiao_Centro-Oeste,0.0018133120859706638
cat__sigla_uf_PR,0.0015622347674974983
cat__sigla_uf_PA,0.0013102728325181012
cat__sigla_uf_MA,0.0010163433898801497
cat__sigla_uf_RN,0.0010095088793521255
cat__sigla_uf_PE,0.0008983465292081296
cat__sigla_uf_ES,0.0008640181335331926
cat__sigla_uf_RO,0.0008237185420332723
cat__sigla_uf_MS,0.0008022955259269864
cat__sigla_uf_AL,0.000767704395317565
cat__sigla_uf_AC,0.0007426633877890716
cat__sigla_uf_PI,0.000602889190000837
cat__sigla_uf_AM,0.0005801587973222799
cat__sigla_uf_PB,0.0005424056002962976
cat__sigla_uf_MT,0.0005392732178810336
cat__sigla_uf_DF,0.0003020610890581165
cat__sigla_uf_SE,0.0002854706035620815
cat__sigla_uf_TO,0.00010897423106082622
cat__sigla_uf_AP,8.307444080612363e-05
cat__rede_privada,0.0
